ID,earthquake,pga_(g),CorrosionLvl_Long,CorrosionLvl_Trans,First_Period_s,Steel_Strain,Conf_Conc_Strain,Unc_Conc_srain,Fy_ksi,fyt_ksi,Ast_in2,st_in,Dprime_in,PCol_kip,DCol_in,barAreaSec_in2,fc_ksi,LimitState_ConcreteCoverCrushing,ConfinementSteelYielding,LongitudinlSteelBuckling,"Effective period, Teff",Force,MaxDisplacement at MaxForce,SD_at_Teff,SD_Teff_xi,rhol,rhov,ALR,height_of_col,long_bar_diameter,ServciabilitySteel,ServiciabilityConcrete,DamageControlSteel,DamageControlConcrete,UltimateSteel,Ductility
0,RSN599_WHITTIER.A_A-FLO020.AT2.g3,0.1154556,15,0,2.41980621,0.000624473,0.000587632,0.000616791,53.25,60,0.441786467,2.5,67.625,4071.5136,72,1.043106936,6.896341132,0.004,0.016992106,0.059638752,2.383934446,73.6903,1.00628,2.541784601,2.541784601,0.03,0.01,0.2,576,1.152443057,0,0,0,0,0,0.153621569
0,RSN1245_CHICHI_CHY102-E.AT2.g3,0.04137836,20,0,0.867717107,0.000808483,0.000734076,0.000779547,51,60,0.441786467,2.5,67.625,4071.5136,72,0.981747704,6.896341132,0.004,0.016996628,0.059638752,0.877437775,-218.541,-0.404283,1.084920176,1.084920176,0.03,0.01,0.2,288,1.118033989,0,0,0,0,0,0.250945844
0,RSN1605_DUZCE_DZC180.AT2.g3,0.4042971,10,0,0.788576328,0.00545575,0.00323802,0.00369513,55.5,60,0.441786467,2.5,67.625,4071.5136,72,2.164753688,6.896341132,0.004,0.01690946,0.059638752,1.225727407,983.359,3.54993,11.75167048,7.173847376,0.04,0.01,0.2,288,1.660195772,0,0,0,0,0,1.954774911
0,RSN1193_CHICHI_CHY024-E.AT2.g3,0.28177,10,0,0.849993833,0.00565207,0.00310968,0.00355825,55.5,60,0.441786467,2.5,67.625,4071.5136,72,1.104466167,6.896341132,0.004,0.016987585,0.059638752,1.385200194,-758.14,-3.49538,13.28068003,8.085887881,0.03,0.01,0.2,288,1.185854123,0,0,0,0,0,1.97610763
0,RSN599_WHITTIER.A_A-FLO020.AT2.g3,0.1154556,5,0,1.542093658,0.000541141,0.0005135,0.000535378,57.75,60,0.441786467,2.5,67.625,4071.5136,72,1.165825399,6.896341132,0.004,0.016983064,0.059638752,1.509745896,77.8435,0.426334,1.065605647,1.065605647,0.03,0.01,0.2,432,1.218349293,0,0,0,0,0,0.104938479
0,RSN1197_CHICHI_CHY028-E.AT2.g3,0.6363748,0,0,1.527023719,0.0154473,0.00655096,0.00770291,60,60,0.441786467,2.5,67.625,4071.5136,72,1.22718463,6.896341132,0.004,0.016978543,0.059638752,3.2089944,617.674,15.2833,39.93024808,22.02772394,0.03,0.01,0.2,432,1.25,1,1,0,0,0,3.609421742
0,RSN1505_CHICHI_TCU068-E.AT2.g3,0.5116834,5,0,1.542093658,0.0532445,0.0100304,0.0118084,57.75,60,0.441786467,2.5,67.625,4071.5136,72,1.165825399,6.896341132,0.004,0.016983064,0.059638752,5.567123487,-634.439,-47.2467,225.3246919,115.9426476,0.03,0.01,0.2,432,1.218349293,1,1,0,0,1,11.62937241
0,RSN1547_CHICHI_TCU123-E.AT2.g3,0.1516146,5,0,1.542093658,0.00980323,0.00465856,0.00541586,57.75,60,0.441786467,2.5,67.625,4071.5136,72,1.165825399,6.896341132,0.004,0.016983064,0.059638752,2.79239874,563.298,10.5539,43.19752552,24.90371948,0.03,0.01,0.2,432,1.218349293,0,1,0,0,0,2.597752509
0,RSN1245_CHICHI_CHY102-E.AT2.g3,0.04137836,0,0,1.527023719,0.000663137,0.000606463,0.000638967,60,60,0.441786467,2.5,67.625,4071.5136,72,1.22718463,6.896341132,0.004,0.016978543,0.059638752,1.508287801,-120.748,-0.660037,1.642833712,1.642833712,0.03,0.01,0.2,432,1.25,0,0,0,0,0,0.155879417
0,RSN599_WHITTIER.A_A-FLO020.AT2.g3,0.1154556,10,0,1.55763135,0.000548084,0.000520141,0.000542257,55.5,60,0.441786467,2.5,67.625,4071.5136,72,1.104466167,6.896341132,0.004,0.016987585,0.059638752,1.523846961,77.2325,0.430926,1.089154424,1.089154424,0.03,0.01,0.2,432,1.185854123,0,0,0,0,0,0.11070966
