earthquake,pga_(g),cover_cm,water_cement_ratio,time_yrs,CorrosionLvl_Long,CorrosionLvl_Transv,First_Period_s,Steel_Strain,Conf_Conc_Strain,Unc_Conc_srain,Fy_ksi,fyt_ksi,Ast_in2,st_in,Dprime_in,PCol_kip,DCol_in,barAreaSec_in2,fc_ksi,LimitState_ConcreteCoverCrushing,ConfinementSteelYielding,LongitudinlSteelBuckling,"Effective period, Teff",Force,MaxDisplacement at MaxForce
RSN291_ITALY_A-VLT000.AT2.g3,0.09609018,4,0.4,25,5.971173759,12.099405,0.363172583,0.00323157,0.00140367,0.00181302,52.47632106,44.7547497,0.097459803,2,20.662892,225,24,0.415407066,6.33047103,0.004,0.014743267,0.048047281,0.623495791,44.3074,0.748922
RSN291_ITALY_A-VLT000.AT2.g3,0.09609018,4,0.4,50,9.829996808,19.46383972,0.356191674,0.00330743,0.00136285,0.00177529,47.61420402,35.47556196,0.089294485,2,20.662892,225,24,0.39835929,5.990582477,0.004,0.013506681,0.045703393,0.63871899,42.36,0.751396
RSN291_ITALY_A-VLT000.AT2.g3,0.09609018,4,0.4,75,13.06475663,25.50419091,0.349324954,0.0034008,0.001305,0.00172058,43.53840664,27.86471945,0.082597244,2,20.662892,225,24,0.384068544,5.733388746,0.004,0.012492631,0.044052023,0.654233648,40.1761,0.747699
RSN292_ITALY_A-STU000.AT2.g3,0.2266578,4,0.4,5,1.658948118,3.677540555,0.369502395,0.00795159,0.00254571,0.00347275,57.90972537,55.3662989,0.106797547,2,20.662892,225,24,0.434457915,6.749259023,0.004,0.016157704,0.051183928,0.896184124,-54.3325,-1.89735
RSN292_ITALY_A-STU000.AT2.g3,0.2266578,4,0.4,25,5.971173759,12.099405,0.363172583,0.00809711,0.00232093,0.00323694,52.47632106,44.7547497,0.097459803,2,20.662892,225,24,0.415407066,6.33047103,0.004,0.014743267,0.048047281,0.912770428,-50.3538,-1.8241
RSN292_ITALY_A-STU000.AT2.g3,0.2266578,4,0.4,50,9.829996808,19.46383972,0.356191674,0.00881811,0.0021039,0.00298715,47.61420402,35.47556196,0.089294485,2,20.662892,225,24,0.39835929,5.990582477,0.004,0.013506681,0.045703393,0.97889332,45.6086,1.90025
RSN292_ITALY_A-STU000.AT2.g3,0.2266578,4,0.4,75,13.06475663,25.50419091,0.349324954,0.00858535,0.00189916,0.00273178,43.53840664,27.86471945,0.082597244,2,20.662892,225,24,0.384068544,5.733388746,0.004,0.012492631,0.044052023,1.052673365,43.0553,2.07447
RSN368_COALINGA.H_H-PVY045.AT2.g3,0.6023751,4,0.4,5,1.658948118,3.677540555,0.369502395,0.0277096,0.00670534,0.0097446,57.90972537,55.3662989,0.106797547,2,20.662892,225,24,0.434457915,6.749259023,0.004,0.016157704,0.051183928,1.613623552,-56.0894,-6.35007
RSN368_COALINGA.H_H-PVY045.AT2.g3,0.6023751,4,0.4,25,5.971173759,12.099405,0.363172583,0.0284239,0.00688227,0.0100002,52.47632106,44.7547497,0.097459803,2,20.662892,225,24,0.415407066,6.33047103,0.004,0.014743267,0.048047281,1.645000052,-50.8959,-5.98836
RSN368_COALINGA.H_H-PVY045.AT2.g3,0.6023751,4,0.4,50,9.829996808,19.46383972,0.356191674,0.0273312,0.00641898,0.00939954,47.61420402,35.47556196,0.089294485,2,20.662892,225,24,0.39835929,5.990582477,0.004,0.013506681,0.045703393,1.670987814,-46.7483,-5.67552
RSN368_COALINGA.H_H-PVY045.AT2.g3,0.6023751,4,0.4,75,13.06475663,25.50419091,0.349324954,0.023439,0.0044034,0.00686223,43.53840664,27.86471945,0.082597244,2,20.662892,225,24,0.384068544,5.733388746,0.004,0.012492631,0.044052023,1.760869651,-44.5348,-6.00409
RSN543_CHALFANT.B_B-BEN270.AT2.g3,0.0585513,4,0.4,5,1.658948118,3.677540555,0.369502395,0.000493476,0.000482711,0.000549519,57.90972537,55.3662989,0.106797547,2,20.662892,225,24,0.434457915,6.749259023,0.004,0.016157704,0.051183928,0.414769495,16.6006,0.124174
