ID,earthquake,pga_(g),CorrosionLvl_Long,First_Period_s,Steel_Strain,Conf_Conc_Strain,Unc_Conc_srain,Fy_ksi,fyt_ksi,Ast_in2,st_in,Dprime_in,PCol_kip,DCol_in,barAreaSec_in2,fc_ksi,LimitState_ConcreteCoverCrushing,ConfinementSteelYielding,LongitudinlSteelBuckling,"Effective period, Teff",Force,MaxDisplacement at MaxForce,SD_at_Teff,rhol,rhov,height_of_column
0,RSN230_MAMMOTH.I_I-CVK090.AT2.g3,0.4194571,20,0.697261884,0.00246693,0.00167785,0.00189578,34.8,60,0.441786467,2.5,67.625,3053.628059,72,1.9242255,6.896341132,0.004,0.016927183,0.056013608,1.012009304,-587.891,-1.92897,4.389762056,0.04,0.01,288
0,RSN231_MAMMOTH.I_I-LUL000.AT2.g3,0.4302934,20,0.697261884,0.00430394,0.00231969,0.00266796,34.8,60,0.441786467,2.5,67.625,3053.628059,72,1.9242255,6.896341132,0.004,0.016927183,0.056013608,1.143669907,637.184,2.67009,6.27697813,0.04,0.01,288
0,RSN210_LIVERMOR_A-A3E146.AT2.g3,0.06489687,10,0.679829205,0.000543491,0.000507303,0.000540869,47.4,60,0.441786467,2.5,67.625,3053.628059,72,2.164753688,6.896341132,0.004,0.01690946,0.056013608,0.693761434,187.177,0.288624,0.76799199,0.04,0.01,288
0,RSN95_MANAGUA_A-ESO090.AT2.g3,0.3718347,20,0.697261884,0.00464813,0.00242726,0.00279928,34.8,60,0.441786467,2.5,67.625,3053.628059,72,1.9242255,6.896341132,0.004,0.016927183,0.056013608,1.179060166,633.597,2.82192,8.888296163,0.04,0.01,288
0,RSN214_LIVERMOR_A-KOD180.AT2.g3,0.1497026,5,0.671587271,0.00225503,0.00166981,0.00187617,53.7,60,0.441786467,2.5,67.625,3053.628059,72,2.285017782,6.896341132,0.004,0.016900599,0.056013608,0.865337294,-824.318,-1.97754,6.112741451,0.04,0.01,288
0,RSN214_LIVERMOR_A-KOD180.AT2.g3,0.1497026,0,0.663635943,0.00217785,0.0016492,0.00184946,60,60,0.441786467,2.5,67.625,3053.628059,72,2.405281875,6.896341132,0.004,0.016891738,0.056013608,0.832702718,-901.81,-2.00334,5.688818311,0.04,0.01,288
0,RSN230_MAMMOTH.I_I-CVK090.AT2.g3,0.4194571,0,0.663635943,0.00391659,0.00242595,0.00275943,60,60,0.441786467,2.5,67.625,3053.628059,72,2.405281875,6.896341132,0.004,0.016891738,0.056013608,0.920599682,997.541,2.70852,4.625421129,0.04,0.01,288
0,RSN232_MAMMOTH.I_I-MLS254.AT2.g3,0.324282,10,0.679829205,0.000998225,0.000840605,0.000920092,47.4,60,0.441786467,2.5,67.625,3053.628059,72,2.164753688,6.896341132,0.004,0.01690946,0.056013608,0.764775047,-393.657,-0.737641,1.659495672,0.04,0.01,288
0,RSN286_ITALY_A-BIS000.AT2.g3,0.0955313,5,0.671587271,0.000757491,0.000766392,0.00083551,53.7,60,0.441786467,2.5,67.625,3053.628059,72,2.285017782,6.896341132,0.004,0.016900599,0.056013608,0.735480552,337.437,0.584783,1.599772383,0.04,0.01,288
0,RSN95_MANAGUA_A-ESO090.AT2.g3,0.3718347,15,0.68838053,0.00438456,0.00241192,0.00276928,41.1,60,0.441786467,2.5,67.625,3053.628059,72,2.044489594,6.896341132,0.004,0.016918322,0.056013608,1.097051039,715.052,2.75709,7.065397868,0.04,0.01,288
