mainshock_rsn,horizontal_1_filename,Horizontal_file_2,dt_horizontal1,npt_horizontal1
992,RSN992_NORTHR_VER090.AT2.g3,RSN992_NORTHR_VER180.AT2.g3,0.01,2999
993,RSN993_NORTHR_FLE144.AT2.g3,RSN993_NORTHR_FLE234.AT2.g3,0.01,2999
995,RSN995_NORTHR_PEL090.AT2.g3,RSN995_NORTHR_PEL360.AT2.g3,0.02,2000
997,RSN997_NORTHR_FIG058.AT2.g3,RSN997_NORTHR_FIG328.AT2.g3,0.01,2999
998,RSN998_NORTHR_WST000.AT2.g3,RSN998_NORTHR_WST270.AT2.g3,0.01,2999
999,RSN999_NORTHR_OBR090.AT2.g3,RSN999_NORTHR_OBR360.AT2.g3,0.02,2000
1001,RSN1001_NORTHR_GR2090.AT2.g3,RSN1001_NORTHR_GR2180.AT2.g3,0.01,2999
1003,RSN1003_NORTHR_STN020.AT2.g3,RSN1003_NORTHR_STN110.AT2.g3,0.01,3159
1004,RSN1004_NORTHR_SPV270.AT2.g3,RSN1004_NORTHR_SPV360.AT2.g3,0.005,9557
1006,RSN1006_NORTHR_UCL090.AT2.g3,RSN1006_NORTHR_UCL360.AT2.g3,0.02,3000
1017,RSN1017_NORTHR_BRC000.AT2.g3,RSN1017_NORTHR_BRC090.AT2.g3,0.01,3499
1018,RSN1018_NORTHR_RIM015.AT2.g3,RSN1018_NORTHR_RIM105.AT2.g3,0.01,3499
1024,RSN1024_NORTHR_DEL000.AT2.g3,RSN1024_NORTHR_DEL090.AT2.g3,0.01,3536
1039,RSN1039_NORTHR_MRP090.AT2.g3,RSN1039_NORTHR_MRP180.AT2.g3,0.02,2000
1041,RSN1041_NORTHR_MTW000.AT2.g3,RSN1041_NORTHR_MTW090.AT2.g3,0.02,2000
1044,RSN1044_NORTHR_NWH090.AT2.g3,RSN1044_NORTHR_NWH360.AT2.g3,0.02,2000
1048,RSN1048_NORTHR_STC090.AT2.g3,RSN1048_NORTHR_STC180.AT2.g3,0.01,2999
1052,RSN1052_NORTHR_PKC090.AT2.g3,RSN1052_NORTHR_PKC360.AT2.g3,0.02,2000
1070,RSN1070_NORTHR_GRN180.AT2.g3,RSN1070_NORTHR_GRN270.AT2.g3,0.01,3499
1072,RSN1072_NORTHR_SMA090.AT2.g3,RSN1072_NORTHR_SMA360.AT2.g3,0.02,2000
1076,RSN1076_NORTHR_EJS030.AT2.g3,RSN1076_NORTHR_EJS120.AT2.g3,0.01,3499
1077,RSN1077_NORTHR_STM090.AT2.g3,RSN1077_NORTHR_STM360.AT2.g3,0.02,2000
1082,RSN1082_NORTHR_RO3000.AT2.g3,RSN1082_NORTHR_RO3090.AT2.g3,0.01,3028
1083,RSN1083_NORTHR_GLE170.AT2.g3,RSN1083_NORTHR_GLE260.AT2.g3,0.01,2999
1086,RSN1086_NORTHR_SYL090.AT2.g3,RSN1086_NORTHR_SYL360.AT2.g3,0.02,2000
1087,RSN1087_NORTHR_TAR090.AT2.g3,RSN1087_NORTHR_TAR360.AT2.g3,0.02,2000
1094,RSN1094_NORTHR_SOR225.AT2.g3,RSN1094_NORTHR_SOR315.AT2.g3,0.01,3648
1186,RSN1186_CHICHI_CHY014-N.AT2.g3,RSN1186_CHICHI_CHY014-W.AT2.g3,0.004,37250
1187,RSN1187_CHICHI_CHY015-N.AT2.g3,RSN1187_CHICHI_CHY015-W.AT2.g3,0.004,37500
1193,RSN1193_CHICHI_CHY024-E.AT2.g3,RSN1193_CHICHI_CHY024-N.AT2.g3,0.005,18000
1194,RSN1194_CHICHI_CHY025-E.AT2.g3,RSN1194_CHICHI_CHY025-N.AT2.g3,0.005,18000
1195,RSN1195_CHICHI_CHY026-E.AT2.g3,RSN1195_CHICHI_CHY026-N.AT2.g3,0.005,18000
1197,RSN1197_CHICHI_CHY028-E.AT2.g3,RSN1197_CHICHI_CHY028-N.AT2.g3,0.005,18000
1198,RSN1198_CHICHI_CHY029-E.AT2.g3,RSN1198_CHICHI_CHY029-N.AT2.g3,0.005,18000
1201,RSN1201_CHICHI_CHY034-N.AT2.g3,RSN1201_CHICHI_CHY034-W.AT2.g3,0.004,49250
1202,RSN1202_CHICHI_CHY035-E.AT2.g3,RSN1202_CHICHI_CHY035-N.AT2.g3,0.005,18000
1203,RSN1203_CHICHI_CHY036-E.AT2.g3,RSN1203_CHICHI_CHY036-N.AT2.g3,0.005,18000
1204,RSN1204_CHICHI_CHY039-E.AT2.g3,RSN1204_CHICHI_CHY039-N.AT2.g3,0.005,18000
1205,RSN1205_CHICHI_CHY041-E.AT2.g3,RSN1205_CHICHI_CHY041-N.AT2.g3,0.005,18000
1206,RSN1206_CHICHI_CHY042-E.AT2.g3,RSN1206_CHICHI_CHY042-N.AT2.g3,0.005,18000
1208,RSN1208_CHICHI_CHY046-E.AT2.g3,RSN1208_CHICHI_CHY046-N.AT2.g3,0.005,18000
1209,RSN1209_CHICHI_CHY047-N.AT2.g3,RSN1209_CHICHI_CHY047-W.AT2.g3,0.004,37500
1211,RSN1211_CHICHI_CHY052-N.AT2.g3,RSN1211_CHICHI_CHY052-W.AT2.g3,0.004,29000
1227,RSN1227_CHICHI_CHY074-E.AT2.g3,RSN1227_CHICHI_CHY074-N.AT2.g3,0.005,18000
1231,RSN1231_CHICHI_CHY080-E.AT2.g3,RSN1231_CHICHI_CHY080-N.AT2.g3,0.005,18000
1234,RSN1234_CHICHI_CHY086-E.AT2.g3,RSN1234_CHICHI_CHY086-N.AT2.g3,0.005,18000
1235,RSN1235_CHICHI_CHY087-E.AT2.g3,RSN1235_CHICHI_CHY087-N.AT2.g3,0.005,18000
1236,RSN1236_CHICHI_CHY088-E.AT2.g3,RSN1236_CHICHI_CHY088-N.AT2.g3,0.005,18000
1238,RSN1238_CHICHI_CHY092-N.AT2.g3,RSN1238_CHICHI_CHY092-W.AT2.g3,0.004,37500
1240,RSN1240_CHICHI_CHY094-N.AT2.g3,RSN1240_CHICHI_CHY094-W.AT2.g3,0.004,37500
1244,RSN1244_CHICHI_CHY101-E.AT2.g3,RSN1244_CHICHI_CHY101-N.AT2.g3,0.005,18000
1245,RSN1245_CHICHI_CHY102-E.AT2.g3,RSN1245_CHICHI_CHY102-N.AT2.g3,0.005,18000
1246,RSN1246_CHICHI_CHY104-N.AT2.g3,RSN1246_CHICHI_CHY104-W.AT2.g3,0.004,37500
1258,RSN1258_CHICHI_HWA005-N.AT2.g3,RSN1258_CHICHI_HWA005-W.AT2.g3,0.004,20000
1261,RSN1261_CHICHI_HWA009-E.AT2.g3,RSN1261_CHICHI_HWA009-N.AT2.g3,0.005,18000
1262,RSN1262_CHICHI_HWA011-E.AT2.g3,RSN1262_CHICHI_HWA011-N.AT2.g3,0.005,18000
1264,RSN1264_CHICHI_HWA013-E.AT2.g3,RSN1264_CHICHI_HWA013-N.AT2.g3,0.005,18000
1265,RSN1265_CHICHI_HWA014-E.AT2.g3,RSN1265_CHICHI_HWA014-N.AT2.g3,0.005,18000
1268,RSN1268_CHICHI_HWA017-E.AT2.g3,RSN1268_CHICHI_HWA017-N.AT2.g3,0.005,17401
1269,RSN1269_CHICHI_HWA019-E.AT2.g3,RSN1269_CHICHI_HWA019-N.AT2.g3,0.005,18000
1270,RSN1270_CHICHI_HWA020-E.AT2.g3,RSN1270_CHICHI_HWA020-N.AT2.g3,0.005,17800
1277,RSN1277_CHICHI_HWA028-E.AT2.g3,RSN1277_CHICHI_HWA028-N.AT2.g3,0.005,18000
1278,RSN1278_CHICHI_HWA029-E.AT2.g3,RSN1278_CHICHI_HWA029-N.AT2.g3,0.005,17401
1279,RSN1279_CHICHI_HWA030-E.AT2.g3,RSN1279_CHICHI_HWA030-N.AT2.g3,0.005,18000
1280,RSN1280_CHICHI_HWA031-E.AT2.g3,RSN1280_CHICHI_HWA031-N.AT2.g3,0.005,18000
1281,RSN1281_CHICHI_HWA032-E.AT2.g3,RSN1281_CHICHI_HWA032-N.AT2.g3,0.005,18000
1282,RSN1282_CHICHI_HWA033-E.AT2.g3,RSN1282_CHICHI_HWA033-N.AT2.g3,0.005,18000
1283,RSN1283_CHICHI_HWA034-E.AT2.g3,RSN1283_CHICHI_HWA034-N.AT2.g3,0.005,18000
1284,RSN1284_CHICHI_HWA035-E.AT2.g3,RSN1284_CHICHI_HWA035-N.AT2.g3,0.005,18000
1285,RSN1285_CHICHI_HWA036-E.AT2.g3,RSN1285_CHICHI_HWA036-N.AT2.g3,0.005,18000
1286,RSN1286_CHICHI_HWA037-E.AT2.g3,RSN1286_CHICHI_HWA037-N.AT2.g3,0.005,18000
1287,RSN1287_CHICHI_HWA038-E.AT2.g3,RSN1287_CHICHI_HWA038-N.AT2.g3,0.005,18000
1288,RSN1288_CHICHI_HWA039-E.AT2.g3,RSN1288_CHICHI_HWA039-N.AT2.g3,0.005,18000
1289,RSN1289_CHICHI_HWA041-E.AT2.g3,RSN1289_CHICHI_HWA041-N.AT2.g3,0.005,18000
1290,RSN1290_CHICHI_HWA043-E.AT2.g3,RSN1290_CHICHI_HWA043-N.AT2.g3,0.005,18000
1294,RSN1294_CHICHI_HWA048-N.AT2.g3,RSN1294_CHICHI_HWA048-W.AT2.g3,0.004,22500
1295,RSN1295_CHICHI_HWA049-N.AT2.g3,RSN1295_CHICHI_HWA049-W.AT2.g3,0.004,22500
1296,RSN1296_CHICHI_HWA050-N.AT2.g3,RSN1296_CHICHI_HWA050-W.AT2.g3,0.004,21000
1297,RSN1297_CHICHI_HWA051-N.AT2.g3,RSN1297_CHICHI_HWA051-W.AT2.g3,0.004,20000
1300,RSN1300_CHICHI_HWA055-N.AT2.g3,RSN1300_CHICHI_HWA055-W.AT2.g3,0.004,36250
1301,RSN1301_CHICHI_HWA056-E.AT2.g3,RSN1301_CHICHI_HWA056-N.AT2.g3,0.005,17201
1302,RSN1302_CHICHI_HWA057-E.AT2.g3,RSN1302_CHICHI_HWA057-N.AT2.g3,0.005,18000
1303,RSN1303_CHICHI_HWA058-E.AT2.g3,RSN1303_CHICHI_HWA058-N.AT2.g3,0.005,18000
1304,RSN1304_CHICHI_HWA059-E.AT2.g3,RSN1304_CHICHI_HWA059-N.AT2.g3,0.005,18000
1350,RSN1350_CHICHI_ILA067-E.AT2.g3,RSN1350_CHICHI_ILA067-N.AT2.g3,0.005,18000
1380,RSN1380_CHICHI_KAU054-E.AT2.g3,RSN1380_CHICHI_KAU054-N.AT2.g3,0.005,18000
1482,RSN1482_CHICHI_TCU039-E.AT2.g3,RSN1482_CHICHI_TCU039-N.AT2.g3,0.005,18000
1483,RSN1483_CHICHI_TCU040-E.AT2.g3,RSN1483_CHICHI_TCU040-N.AT2.g3,0.005,18000
1488,RSN1488_CHICHI_TCU048-E.AT2.g3,RSN1488_CHICHI_TCU048-N.AT2.g3,0.005,18000
1489,RSN1489_CHICHI_TCU049-E.AT2.g3,RSN1489_CHICHI_TCU049-N.AT2.g3,0.005,18000
1490,RSN1490_CHICHI_TCU050-E.AT2.g3,RSN1490_CHICHI_TCU050-N.AT2.g3,0.005,18000
1491,RSN1491_CHICHI_TCU051-E.AT2.g3,RSN1491_CHICHI_TCU051-N.AT2.g3,0.005,18000
1492,RSN1492_CHICHI_TCU052-E.AT2.g3,RSN1492_CHICHI_TCU052-N.AT2.g3,0.005,18000
1493,RSN1493_CHICHI_TCU053-E.AT2.g3,RSN1493_CHICHI_TCU053-N.AT2.g3,0.005,18000
1494,RSN1494_CHICHI_TCU054-E.AT2.g3,RSN1494_CHICHI_TCU054-N.AT2.g3,0.005,18000
1495,RSN1495_CHICHI_TCU055-E.AT2.g3,RSN1495_CHICHI_TCU055-N.AT2.g3,0.005,11200
1496,RSN1496_CHICHI_TCU056-E.AT2.g3,RSN1496_CHICHI_TCU056-N.AT2.g3,0.005,18000
1497,RSN1497_CHICHI_TCU057-E.AT2.g3,RSN1497_CHICHI_TCU057-N.AT2.g3,0.005,18000
1498,RSN1498_CHICHI_TCU059-E.AT2.g3,RSN1498_CHICHI_TCU059-N.AT2.g3,0.005,18000
1499,RSN1499_CHICHI_TCU060-E.AT2.g3,RSN1499_CHICHI_TCU060-N.AT2.g3,0.005,18000
1500,RSN1500_CHICHI_TCU061-E.AT2.g3,RSN1500_CHICHI_TCU061-N.AT2.g3,0.005,18000
1501,RSN1501_CHICHI_TCU063-E.AT2.g3,RSN1501_CHICHI_TCU063-N.AT2.g3,0.005,18000
1503,RSN1503_CHICHI_TCU065-E.AT2.g3,RSN1503_CHICHI_TCU065-N.AT2.g3,0.005,18000
1504,RSN1504_CHICHI_TCU067-E.AT2.g3,RSN1504_CHICHI_TCU067-N.AT2.g3,0.005,18000
1505,RSN1505_CHICHI_TCU068-E.AT2.g3,RSN1505_CHICHI_TCU068-N.AT2.g3,0.005,18000
1506,RSN1506_CHICHI_TCU070-E.AT2.g3,RSN1506_CHICHI_TCU070-N.AT2.g3,0.005,18000
1507,RSN1507_CHICHI_TCU071-E.AT2.g3,RSN1507_CHICHI_TCU071-N.AT2.g3,0.005,18000
1508,RSN1508_CHICHI_TCU072-E.AT2.g3,RSN1508_CHICHI_TCU072-N.AT2.g3,0.005,18000
1509,RSN1509_CHICHI_TCU074-E.AT2.g3,RSN1509_CHICHI_TCU074-N.AT2.g3,0.005,18000
1510,RSN1510_CHICHI_TCU075-E.AT2.g3,RSN1510_CHICHI_TCU075-N.AT2.g3,0.005,18000
1511,RSN1511_CHICHI_TCU076-E.AT2.g3,RSN1511_CHICHI_TCU076-N.AT2.g3,0.005,18000
1512,RSN1512_CHICHI_TCU078-E.AT2.g3,RSN1512_CHICHI_TCU078-N.AT2.g3,0.005,18000
1513,RSN1513_CHICHI_TCU079-E.AT2.g3,RSN1513_CHICHI_TCU079-N.AT2.g3,0.005,18000
1515,RSN1515_CHICHI_TCU082-E.AT2.g3,RSN1515_CHICHI_TCU082-N.AT2.g3,0.005,18000
1517,RSN1517_CHICHI_TCU084-E.AT2.g3,RSN1517_CHICHI_TCU084-N.AT2.g3,0.005,18000
1520,RSN1520_CHICHI_TCU088-N.AT2.g3,RSN1520_CHICHI_TCU088-E.AT2.g3,0.005,16000
1521,RSN1521_CHICHI_TCU089-E.AT2.g3,RSN1521_CHICHI_TCU089-N.AT2.g3,0.005,18000
1528,RSN1528_CHICHI_TCU101-E.AT2.g3,RSN1528_CHICHI_TCU101-N.AT2.g3,0.005,9800
1529,RSN1529_CHICHI_TCU102-E.AT2.g3,RSN1529_CHICHI_TCU102-N.AT2.g3,0.005,18000
1530,RSN1530_CHICHI_TCU103-E.AT2.g3,RSN1530_CHICHI_TCU103-N.AT2.g3,0.005,18000
1531,RSN1531_CHICHI_TCU104-E.AT2.g3,RSN1531_CHICHI_TCU104-N.AT2.g3,0.005,18000
1532,RSN1532_CHICHI_TCU105-E.AT2.g3,RSN1532_CHICHI_TCU105-N.AT2.g3,0.005,18000
1533,RSN1533_CHICHI_TCU106-E.AT2.g3,RSN1533_CHICHI_TCU106-N.AT2.g3,0.005,18000
1534,RSN1534_CHICHI_TCU107-E.AT2.g3,RSN1534_CHICHI_TCU107-N.AT2.g3,0.005,18000
1535,RSN1535_CHICHI_TCU109-E.AT2.g3,RSN1535_CHICHI_TCU109-N.AT2.g3,0.005,18000
1536,RSN1536_CHICHI_TCU110-E.AT2.g3,RSN1536_CHICHI_TCU110-N.AT2.g3,0.005,18000
1538,RSN1538_CHICHI_TCU112-E.AT2.g3,RSN1538_CHICHI_TCU112-N.AT2.g3,0.005,18000
1539,RSN1539_CHICHI_TCU113-E.AT2.g3,RSN1539_CHICHI_TCU113-N.AT2.g3,0.005,18000
1540,RSN1540_CHICHI_TCU115-E.AT2.g3,RSN1540_CHICHI_TCU115-N.AT2.g3,0.005,18000
